ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
1480.0	-0.000235597426	6.5506e-05	-2.778	4.0508238376653725e-06	0.052281567766492565
1473.3333333333333	-0.000240655079	6.77411e-05	-3.12	4.2023994501894975e-06	0.0542378638128037
1466.6666666666665	-0.000240082918	6.99167e-05	-3.276	4.350871421420562e-06	0.0561541030116466
1460.0	-0.000232007342	7.32546e-05	-2.868	4.5804697808820456e-06	0.059117392127714226
1453.3333333333333	-0.000233377561	7.59368e-05	-3.108	4.766569147821472e-06	0.0615192656857489
1446.6666666666665	-0.000234413876	7.78739e-05	-2.784	4.9018699967939244e-06	0.0632655130635401
1440.0	-0.000219189696	8.03773e-05	-2.472	5.07785346536997e-06	0.0655368267535088
1433.3333333333333	-0.000210937845	8.34768e-05	-2.754	5.297523332753738e-06	0.06837197474268918
1426.6666666666665	-0.000204465552	8.67848e-05	-3.69	5.534173434670148e-06	0.07142627649366852
1420.0	-0.000202747378	9.10466e-05	-4.392	5.842463440049597e-06	0.07540519175977085
1413.3333333333333	-0.000195408958	9.81395e-05	-4.8	6.3642390335291e-06	0.08213943821002441
1406.6666666666665	-0.000185856791	0.000106484	-4.134	6.992398304340104e-06	0.09024671534700884
1400.0	-0.000206449532	0.000113458	-3.456	7.52966415630138e-06	0.09718088532664552
1393.3333333333333	-0.000209186446	0.00011623	-3.06	7.746404959312916e-06	0.09997822962857457
1386.6666666666665	-0.000228044119	0.000114143	-2.91	7.583053044337981e-06	0.09786994386873998
1380.0	-0.000226930206	0.00010705	-2.73	7.035579678452566e-06	0.090804031593625
1373.3333333333333	-0.000232899043	9.57851e-05	-3.102	6.189822308851594e-06	0.07988834554930475
1366.6666666666665	-0.000240180022	8.36258e-05	-3.024	5.3081334433729515e-06	0.0685089131136424
1360.0	-0.000238559273	7.3195e-05	-1.542	4.576350852039288e-06	0.059064231569258024
1353.3333333333333	-0.000245458999	5.96049e-05	1.278	3.655227132078924e-06	0.04717583698180382
1346.6666666666665	-0.000246628684	5.41213e-05	0.318	3.293476324277538e-06	0.04250693501751802
1340.0	-0.00024156935	5.15284e-05	-0.204	3.1243504005098513e-06	0.04032412756923683
1333.3333333333333	-0.000240215535	5.0694e-05	-0.246	3.0701851948944098e-06	0.03962504955907043
1326.6666666666665	-0.000239342651	5.08728e-05	-0.504	3.0817814224546246e-06	0.03977471515335963
1320.0	-0.000236194637	5.00085e-05	-0.534	3.0257799776447513e-06	0.03905193789886014
1313.3333333333333	-0.000236843387	4.96509e-05	1.536	3.0026490268999306e-06	0.03875340051058267
1306.6666666666665	-0.00025078588	4.92039e-05	1.668	2.973767676894364e-06	0.03838064614800983
1300.0	-0.000242910213	4.87866e-05	-0.276	2.9468376638156163e-06	0.03803307652756923
1293.3333333333333	-0.000244829432	5.09622e-05	-2.568	3.087581703158504e-06	0.03984957591769722
1286.6666666666665	-0.000239233963	5.28099e-05	-2.472	3.2077850828785027e-06	0.04140096926246792
1280.0	-0.000231470926	5.32868e-05	-1.896	3.23891096155669e-06	0.04180269241820582
1273.3333333333333	-0.000238983361	5.40318e-05	-1.656	3.287618095895178e-06	0.042431326357048486
1266.6666666666665	-0.000239657452	5.42107e-05	-1.938	3.2993294725649427e-06	0.042582478112231224
1260.0	-0.000237351912	5.28398e-05	-2.334	3.2097353503523175e-06	0.04142614020180795
1253.3333333333333	-0.000229858061	5.32868e-05	-3.888	3.23891096155669e-06	0.04180269241820582
1246.6666666666665	-0.000232789826	5.5522e-05	-4.374	3.385350836542559e-06	0.043692704562550984
1240.0	-0.000245281713	5.83532e-05	-2.334	3.572160994879059e-06	0.04610375188130277
1233.3333333333333	-0.000240363193	5.85916e-05	-1.044	3.5879592730264225e-06	0.046307650836837536
1226.6666666666665	-0.000244212332	5.83234e-05	-1.032	3.5701869557940874e-06	0.04607827413595255
1220.0	-0.00023067699	5.86214e-05	-1.104	3.589934803791281e-06	0.04633314783441057
1213.3333333333333	-0.000241789092	5.86512e-05	-1.776	3.5919105004027102e-06	0.046358646972466395
1206.6666666666665	-0.00023875427	5.87406e-05	-1.554	3.597838585525298e-06	0.04643515723222647
1200.0	-0.000236643016	6.15125e-05	-1.08	3.7823861654902543e-06	0.04881700280111223
